Name,College,POS,Height,Weight,Hand Size,Arm Length,40yard,Vert Leap,Broad Jump
Austin Allen,Nebraska,TE,79.63,253,9.5,33.63,4.83,34,121
Chase Allen,Iowa State,TE,78,251,9.63,34.13,,33.5,117
Christopher Allen,Alabama,OLB,75.5,241,10,33,,,
Tyler Allgeier,Brigham Young,RB,70.75,224,9.63,31.5,4.6,33,120
Troy Andersen,Montana State,OLB,75.5,243,9.25,32.13,4.42,36,128
Tycen Anderson,Toledo,FS,73.88,209,10.13,33,4.36,35.5,123
Blaise Andries,Minnesota,OG,78.25,308,9.88,33.88,5.1,30.5,106
Jalyn Armour-Davis,Alabama,CB,72.63,197,9.25,30.88,4.39,34.5,
Brian Asamoah,Oklahoma,ILB,72.5,225,10,33,4.56,36.5,124
Calvin Austin,Memphis,WR,67.75,170,9.25,30,4.32,39,135
Kevin Austin,Notre Dame,WR,74.38,200,9,32.88,4.43,39,132
Tyler Badie,Missouri,RB,68,197,9.13,29.38,4.45,33.5,121
Kalon Barnes,Baylor,CB,71.5,183,9.88,31.75,4.23,,
Amare Barno,Virginia Tech,OLB,76.63,246,9,34,4.36,37,131
Darrian Beavers,Cincinnati,OLB,75.75,237,9.75,32.38,,36.5,125
David Bell,Purdue,WR,72.88,212,9.25,31.88,4.68,33,118
Greg Bell,San Diego State,RB,70.5,201,9.38,30.88,,31,120
Markquese Bell,Florida A&M,SS,74.13,212,9.38,32.38,4.41,36.5,123
Daniel Bellinger,San Diego State,TE,76.88,253,10.13,32.5,4.63,34.5,125
Dane Belton,Iowa,SS,72.63,205,9.13,31,4.43,36.5,123
Terrel Bernard,Baylor,OLB,72.88,224,9.63,30.25,,35.5,123
Bubba Bolden,Miami (FL),SS,74.13,209,9,31.38,4.47,,116
Slade Bolden,Alabama,WR,70.63,193,9.75,29.38,4.66,32,116
Nik Bonitto,Oklahoma,OLB,75.13,248,9.38,32.5,4.54,35.5,
Thomas Booker,Stanford,DT,75.38,301,10.63,33.25,4.94,,110
Andrew Booth,Clemson,CB,72.25,194,9.38,31.5,,,
Max Borghi,Washington State,RB,69.38,210,9.13,29.63,,,
Jaquan Brisker,Penn State,SS,73.38,199,9.88,31.75,4.49,34.5,124
Kennedy Brooks,Oklahoma,RB,70.63,209,8,31,4.59,31,120
Ben Brown,Mississippi,OG,77.13,312,10.25,34.38,,,
Leddie Brown,West Virginia,RB,72.13,213,9.75,31.38,4.64,30,118
Montaric Brown,Arkansas,CB,72.5,194,9.38,31.38,4.55,34,122
Logan Bruss,Wisconsin,OT,77,308,11,33.13,5.32,31,112
Coby Bryant,Cincinnati,CB,73.38,193,9.38,30.63,4.54,,
Spencer Burford,Texas-San Antonio,OG,76.13,304,9.5,34.75,5.19,27.5,105
Treylon Burks,Arkansas,WR,73.88,224,9.75,33.5,4.55,33,122
Darien Butler,Arizona State,ILB,70.38,226,9.38,30.13,,,
Matthew Butler,Tennessee,DT,75.88,297,9.25,33.5,5,32,112
Percy Butler,Louisiana-Lafayette,SS,72.13,194,9.13,31.63,4.36,31.5,123
Grant Calcaterra,Southern Methodist (TX),TE,75.88,241,10,33.25,4.62,,
Chance Campbell,Mississippi,OLB,74.38,232,10.13,31.25,4.57,39.5,127
JAtyre Carter,Southern (LA),OG,75.38,311,10.25,33.63,5.13,30,108
Zachary Carter,Florida,DT,76.25,282,10.25,33.5,4.99,27.5,110
Tariq Castro-Fields,Penn State,CB,72.63,197,8.75,30.75,4.38,,
Ty Chandler,North Carolina,RB,71.25,204,9,32.13,4.38,31,121
Leo Chenal,Wisconsin,ILB,74.63,250,9.75,31,4.53,40.5,128
Lewis Cine,Georgia,FS,74.25,199,9.38,32.25,4.37,36.5,133
Damone Clark,Louisiana State,OLB,74.5,239,9.75,33,4.57,36.5,127
Micheal Clemons,Texas A&M,DE,77.25,263,10,34.88,,,116
Jack Coan,Notre Dame,QB,75.25,218,9.5,31.13,4.9,33,115
Qwynnterrio Cole,Louisville,SS,72.13,206,10.38,31.88,,,
Snoop Conner,Mississippi,RB,70.13,222,9.25,30.25,4.59,29.5,118
Bryan Cook,Cincinnati,SS,72.75,206,8.5,31.88,,,
James Cook,Georgia,RB,71,199,9.38,30.75,4.42,33,124
Jashaun Corbin,Florida State,RB,71.13,202,9.5,31.5,,,
Yusuf Corker,Kentucky,FS,72,203,9,31,,,
Matt Corral,Mississippi,QB,73.63,212,9.63,30.75,,,
Charles Cross,Mississippi State,OT,76.75,307,10.75,34.5,4.95,26,112
Nick Cross,Maryland,SS,72.13,212,9,31.5,4.34,37,130
Dustin Crum,Kent State (OH),QB,73,210,9.38,31.75,4.75,32.5,120
Myron Cunningham,Arkansas,OT,77.63,322,10.5,34.5,5.38,20,98
D.J. Davidson,Arizona State,DT,75.63,328,10.13,33,5.22,28,95
Jordan Davis,Georgia,DT,78.38,341,10.75,34,4.78,32,123
Kalia Davis,Central Florida,DT,73,302,9.5,33.63,,,
Tyrion Davis-Price,Louisiana State,RB,72.38,211,9.25,30.75,4.48,30,117
Nakobe Dean,Georgia,OLB,71.25,229,9.13,31.88,,,
Dawson Deaton,Texas Tech,C,77.5,306,9.63,32.88,5.12,29,108
Austin Deculus,Louisiana State,OT,77,321,9.25,34.38,5.08,28.5,109
Kellen Diesch,Arizona State,OT,79.13,301,9.5,32.25,4.89,32.5,110
DaiJean Dixon,Nicholls State (LA),WR,74.63,205,9.5,32.38,4.62,34,125
JoJo Domann,Nebraska,OLB,73.25,228,9.5,30.38,4.62,34.5,119
Jahan Dotson,Penn State,WR,70.63,178,9.5,30.75,4.43,36,121
Romeo Doubs,Nevada,WR,73.88,201,10,32.25,,,
Dontario Drummond,Mississippi,WR,72.88,215,9.25,31.5,4.65,34,122
Greg Dulcich,UCLA,TE,76,243,9.88,33.38,4.69,34,122
William Dunkle,San Diego State,OG,76.88,328,10.25,33.63,5.44,26,95
Decobie Durant,South Carolina State,CB,69.63,180,8.75,30.75,4.38,,
Jerrion Ealy,Mississippi,RB,68.13,189,8.5,29.13,4.52,34.5,128
Arnold Ebiketie,Penn State,DE,74.38,250,10.25,34.13,,38,128
Trestan Ebner,Baylor,RB,70.75,206,8.5,29.75,4.43,30,
Ikem Ekwonu,North Carolina State,OT,76,310,10.25,34,4.93,29,108
Kaiir Elam,Florida,CB,73.5,191,8.88,30.88,4.39,,
Kaleb Eleby,Western Michigan,QB,72.75,208,9.25,30.63,,25.5,111
Noah Elliss,Idaho,DT,76.25,346,10.38,32.25,5.62,,
Martin Emerson,Mississippi State,CB,73.63,201,10.13,33.5,4.53,,
Kingsley Enagbare,South Carolina,DE,75.75,258,10.63,34.75,4.87,36.5,117
Akayleb Evans,Missouri,CB,74,197,8.75,32,4.46,36,129
Obinna Eze,Texas Christian,OT,78.5,321,9.88,36.13,5.17,27.5,104
Joshua Ezeudu,North Carolina,OG,76.25,308,9.5,34,5.19,28.5,105
Erik Ezukanma,Texas Tech,WR,73.88,209,9.38,33.5,,36.5,126
Daniel Faalele,Minnesota,OT,80,384,11,35.13,,,
Neil Farrell,Louisiana State,DT,76.13,330,10.13,32.25,5.41,21.5,
Jake Ferguson,Wisconsin,TE,76.88,245,9.5,32.63,4.81,31.5,118
DaMarcus Fields,Texas Tech,CB,71.63,193,9.13,31.25,4.48,34.5,
Cordale Flott,Louisiana State,CB,72.5,175,8,30.13,,,
Jerome Ford,Cincinnati,RB,70.5,210,9.13,30.63,4.46,31,118
Jonathan Ford,Miami (FL),DT,77.13,333,9.25,32.75,,29,102
Luke Fortner,Kentucky,C,76.13,307,10,33.13,5.21,24,102
Ty Fryfogle,Indiana,WR,73.13,209,9.75,30.88,4.53,39,127
Ahmad Gardner,Cincinnati,CB,74.75,190,9.63,33.5,4.41,,
Haskell Garrett,Ohio State,DT,74.13,300,9.88,31.63,5.07,24,
Jeremiah Gemmel,North Carolina,ILB,72.75,226,9.25,31.25,,,
Luke Goedeke,Central Michigan,OG,77,312,9.75,32.25,,,
Mario Goodrich,Clemson,CB,72.25,176,9.13,30.63,4.52,,
Tyler Goodson,Iowa,RB,69,197,9,29.5,4.42,36.5,123
Kyler Gordon,Washington,CB,71.5,194,9.25,31,4.52,,
Isaiah Graham-Mobley,Boston College,ILB,73,230,9.25,32,4.63,34.5,124
Danny Gray,Southern Methodist (TX),WR,71.88,186,9.63,31.88,4.33,34,126
Vincent Gray,Michigan,CB,74.25,192,9.25,32.38,4.54,,
Kenyon Green,Texas A&M,OG,75.88,323,10.38,34.13,5.24,26,102
Jeffrey Gunter,Coastal Carolina (SC),DE,76.38,258,9.25,33,4.7,35.5,122
Breece Hall,Iowa State,RB,71.25,217,9.75,31.25,4.39,40,126
